KOD;CENA;POPIS;PLATNOST_OD;PLATNOST_DO
   -1;;;01.01.1993;22.01.2003
   -2;;;01.01.1993;22.01.2003
   99;;;01.01.1993;09.10.2000
00000;;;30.01.1999;22.01.2003
00003;;;01.01.1993;22.01.2003
00007;;;01.01.1993;22.01.2003
00009;;;01.01.1993;22.01.2003
00023;;;01.01.1993;22.01.2003
00026;;;01.01.1993;22.01.2003
00029;;;01.01.1993;22.01.2003
00034;;;01.01.1993;22.01.2003
00035;;;01.01.1993;22.01.2003
00099;;;01.01.1993;22.01.2003
00100;16.77;;24.09.1998;
00110;14.94;;24.09.1998;
00112;12.88;;24.09.1998;
00300;18.1;;24.09.1998;
00401;7.32;;24.09.1998;
00411;6.44;;01.01.1993;
00501;9.18;;24.09.1998;
00511;7.5;;24.09.1998;
00600;12.79;;24.09.1998;
00602;11.38;;24.09.1998;
00610;11.73;;24.09.1998;
00612;9.68;;24.09.1998;
00640;8.9;;01.01.1993;
00650;9.83;;24.09.1998;
00700;14.1;;24.09.1998;
00710;12.55;;24.09.1998;
00740;9.46;;01.01.1993;
00750;10.37;;24.09.1998;
00800;13.59;;24.09.1998;
00810;11.8;;24.09.1998;
00840;8.42;;24.09.1998;
00850;10.08;;24.09.1998;
00999;;;01.01.1993;28.06.2002
01811;8.61;;24.09.1998;
01901;10.92;;24.09.1998;
01904;7.4;;01.01.1993;
01911;9.95;;24.09.1998;
01914;6.5;;24.09.1998;
01941;6.96;;24.09.1998;
01944;3.99;;01.01.1993;
01951;8.47;;24.09.1998;
01954;5.06;;24.09.1998;
02001;8.17;;24.09.1998;
02004;5.76;;24.09.1998;
02011;7.34;;24.09.1998;
02014;4.74;;24.09.1998;
02041;5.47;;24.09.1998;
02044;2.86;;24.09.1998;
02051;6.26;;24.09.1998;
02054;3.65;;24.09.1998;
02110;5.41;;24.09.1998;
02112;4.73;;24.09.1998;
02113;4.26;;24.09.1998;
02142;3.25;;24.09.1998;
02143;2.68;;01.01.1993;
02152;3.95;;24.09.1998;
02153;3.48;;24.09.1998;
02210;6.53;;24.09.1998;
02212;5.82;;24.09.1998;
02213;5.14;;24.09.1998;
02242;4.1;;24.09.1998;
02243;3.71;;01.01.1993;
02252;4.73;;24.09.1998;
02253;4.34;;24.09.1998;
02310;6.16;;24.09.1998;
02312;5.3;;24.09.1998;
02313;4.98;;24.09.1998;
02411;7.65;;24.09.1998;
02414;4.1;;24.09.1998;
02441;4.69;;24.09.1998;
02444;2.28;;01.01.1993;
02451;5.91;;24.09.1998;
02454;2.83;;01.01.1993;
02901;8.18;;24.09.1998;
02904;5.06;;24.09.1998;
02911;7.11;;24.09.1998;
02914;4;;24.09.1998;
02941;4.39;;24.09.1998;
02944;2.19;;01.01.1993;
02951;5.25;;01.01.1993;
02954;2.62;;24.09.1998;
03201;6.46;;24.09.1998;
03204;3.1;;24.09.1998;
03221;4.55;;24.09.1998;
03224;2.28;;24.09.1998;
03231;5.33;;24.09.1998;
03234;2.44;;24.09.1998;
03241;2.82;;01.01.1993;
03244;1.66;;01.01.1993;
03251;3.75;;01.01.1993;
03254;1.96;;24.09.1998;
03715;1.89;;24.09.1998;
03716;1.56;;24.09.1998;
03745;1.41;;01.01.1993;
03746;1.2;;01.01.1993;
03755;1.65;;24.09.1998;
03756;1.32;;24.09.1998;
03815;2.02;;28.06.2002;
03816;1.67;;28.06.2002;
03845;1.51;;28.06.2002;
03846;1.25;;28.06.2002;
03855;1.76;;28.06.2002;
03856;1.4;;28.06.2002;
03909;1.18;;01.01.1993;
03919;1.18;;01.01.1993;
03929;1.17;;24.09.1998;
03939;1.18;;24.09.1998;
03949;1.17;;24.09.1998;
03959;1.02;;01.01.1993;30.01.2014
03969;1.16;;24.09.1998;
04067;1.17;;24.09.1998;
04068;1.17;;24.09.1998;
04077;1.18;;24.09.1998;
04078;1.17;;24.09.1998;
04089;1.16;;24.09.1998;
04099;1.17;;24.09.1998;
04167;1.17;;24.09.1998;
04168;1.17;;24.09.1998;
04177;1.18;;24.09.1998;
04178;1.17;;24.09.1998;
04189;1.16;;24.09.1998;
04199;1.17;;24.09.1998;
05500;8.4;;24.09.1998;
05600;14.95;;24.09.1998;
05700;13.82;;24.09.1998;
05800;12.29;;24.09.1998;
05900;9.73;;24.09.1998;
06000;17.37;;24.09.1998;
06100;15.06;;24.09.1998;
06200;13.73;;24.09.1998;
06300;4.75;;24.09.1998;
06401;5.66;;24.09.1998;
06411;5.07;;28.06.2002;
06501;2.78;;24.09.1998;
06511;2.68;;28.06.2002;
06601;1.48;;28.06.2002;
06701;1.48;;24.09.1998;
06811;1.47;;01.01.1993;
06841;1.4;;28.06.2002;
06901;1.76;;24.09.1998;
07001;4.99;;24.09.1998;
07101;4.13;;01.01.1993;
07201;1.79;;24.09.1998;
07311;1.3;;28.06.2002;
07313;1.28;;28.06.2002;
07341;1.26;;28.06.2002;
07343;1.25;;28.06.2002;
07411;1.3;;28.06.2002;
07413;1.28;;28.06.2002;
07441;1.26;;28.06.2002;
07443;1.25;;28.06.2002;
07541;1.4;;28.06.2002;
07543;1.39;;28.06.2002;
07641;1.4;;28.06.2002;
07643;1.39;;28.06.2002;
07769;1.16;;24.09.1998;
07789;1.15;;01.01.1993;
07869;1.16;;01.01.1993;
07889;1.15;;24.09.1998;
10100;14.57;;24.09.1998;
10110;13.46;;24.09.1998;
10112;11.03;;24.09.1998;
10300;15.07;;24.09.1998;
10401;6.03;;24.09.1998;
10411;5.17;;01.01.1993;
10501;7.82;;24.09.1998;
10511;6.11;;24.09.1998;
10600;11.6;;24.09.1998;
10602;9.73;;24.09.1998;
10610;9.93;;24.09.1998;
10612;8.29;;24.09.1998;
10640;7.93;;01.01.1993;
10650;8.47;;01.01.1993;
10700;10.21;;24.09.1998;
10710;8.99;;24.09.1998;
10740;6.85;;24.09.1998;
10750;7.3;;24.09.1998;
10800;11.26;;24.09.1998;
10810;9.68;;24.09.1998;
10840;7.3;;24.09.1998;
10850;7.85;;24.09.1998;
11000;14.73;;24.09.1998;
11010;13.42;;24.09.1998;
11100;12.69;;28.06.2002;
11110;11.09;;01.01.1993;
11112;9.43;;01.01.1993;
11300;10.94;;24.09.1998;
11310;9.76;;01.01.1993;
11313;6.88;;24.09.1998;
11400;12.87;;24.09.1998;
11410;11.99;;01.01.1993;
11440;9.75;;01.01.1993;
11450;10.31;;01.01.1993;
11811;8.13;;01.01.1993;
11814;5.49;;01.01.1993;
11841;6.57;;01.01.1993;
11844;3.91;;01.01.1993;
11851;7.11;;01.01.1993;
11854;4.22;;01.01.1993;
11901;9.85;;24.09.1998;
11904;6.39;;24.09.1998;
11911;8.79;;24.09.1998;
11914;5.22;;24.09.1998;
11941;6.29;;24.09.1998;
11944;3.3;;24.09.1998;
11951;6.94;;24.09.1998;
11954;3.83;;24.09.1998;
12001;7.12;;24.09.1998;
12004;4.49;;24.09.1998;
12011;6.14;;24.09.1998;
12014;3.43;;24.09.1998;
12041;4.57;;24.09.1998;
12044;2.4;;24.09.1998;
12051;5.13;;24.09.1998;
12054;2.63;;24.09.1998;
12110;4.03;;24.09.1998;
12112;3.2;;24.09.1998;
12113;2.76;;24.09.1998;
12142;2.39;;24.09.1998;
12143;2.21;;24.09.1998;
12152;2.64;;24.09.1998;
12153;2.36;;24.09.1998;
12210;4.97;;24.09.1998;
12212;3.88;;24.09.1998;
12213;3.44;;24.09.1998;
12242;2.78;;24.09.1998;
12243;2.55;;24.09.1998;
12252;3.14;;24.09.1998;
12253;2.72;;24.09.1998;
12310;5.05;;24.09.1998;
12312;4.07;;24.09.1998;
12313;3.68;;24.09.1998;
12501;9.56;;24.09.1998;
12504;6.09;;24.09.1998;
12511;7.89;;24.09.1998;
12514;5.02;;24.09.1998;
12541;6.24;;01.01.1993;
12544;3.38;;01.01.1993;
12551;6.74;;01.01.1993;
12554;3.68;;24.09.1998;
12601;7.55;;24.09.1998;
12604;4.49;;24.09.1998;
12611;6.42;;24.09.1998;
12614;3.44;;24.09.1998;
12641;4.66;;24.09.1998;
12644;2.31;;24.09.1998;
12651;5.2;;24.09.1998;
12654;2.52;;24.09.1998;
12801;9;;24.09.1998;
12804;5.56;;24.09.1998;
12811;7.38;;24.09.1998;
12814;4.54;;24.09.1998;
12841;5.52;;24.09.1998;
12844;2.74;;24.09.1998;
12851;6.09;;24.09.1998;
12854;3.13;;24.09.1998;
12901;7.55;;24.09.1998;
12904;4.57;;01.01.1993;
12911;6.56;;24.09.1998;
12914;3.58;;24.09.1998;
12941;4.71;;24.09.1998;
12944;2.35;;01.01.1993;
12951;5.23;;24.09.1998;
12954;2.56;;24.09.1998;
13001;8.43;;24.09.1998;
13004;5.35;;24.09.1998;
13011;7.24;;24.09.1998;
13014;4.52;;24.09.1998;
13041;5.46;;24.09.1998;
13044;2.71;;24.09.1998;
13051;6.1;;24.09.1998;
13054;2.89;;24.09.1998;
13101;5.43;;24.09.1998;
13104;3.81;;24.09.1998;
13111;4.82;;24.09.1998;
13114;3.14;;24.09.1998;
13121;4.65;;01.01.1993;
13124;2.88;;01.01.1993;
13131;4.2;;01.01.1993;30.01.2014
13134;3.14;;01.01.1993;
13141;3.69;;24.09.1998;
13144;2.29;;24.09.1998;
13151;3.87;;24.09.1998;
13154;2.54;;24.09.1998;
13201;4.61;;01.01.1993;
13204;2.87;;01.01.1993;
13221;3.66;;24.09.1998;
13224;2.48;;24.09.1998;
13231;3.93;;24.09.1998;
13234;2.55;;24.09.1998;
13241;2.82;;01.01.1993;
13244;1.96;;01.01.1993;
13251;3.03;;01.01.1993;
13254;2.09;;01.01.1993;
13301;8.53;;24.09.1998;
